,dia,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
134,135,7.9,75.28,54.8,14.07,18.48,23.0,8.93,69.05,83.03,92.81,2.64,1017.65,14.84,5.5
135,136,7.67,72.89,53.17,13.5,17.38,21.14,7.65,64.52,81.0,93.14,8.36,1018.11,17.03,6.35
136,137,7.43,74.83,50.93,12.28,17.01,21.89,9.61,61.86,78.3,89.86,0.4,1018.79,17.1,5.56
137,138,6.52,73.91,53.21,13.4,17.35,21.65,8.25,64.57,80.44,91.19,4.57,1017.81,15.75,6.29
138,139,6.76,74.46,52.69,13.15,17.52,21.88,8.72,67.62,81.16,90.81,3.49,1017.62,16.0,6.04
139,140,8.38,75.97,53.38,13.22,17.56,22.31,9.09,67.38,82.73,93.24,7.25,1017.63,15.49,4.99
140,141,7.24,76.87,54.46,13.85,18.16,22.7,8.85,63.95,80.79,92.43,1.88,1017.51,17.44,5.51
141,142,7.05,76.54,54.52,13.76,18.23,22.7,8.95,65.43,80.05,90.05,3.0,1017.04,16.22,4.92
142,143,7.38,75.28,53.87,13.72,17.71,21.56,7.83,65.57,79.87,90.95,6.06,1017.41,17.19,6.55
143,144,6.76,75.94,52.09,12.99,17.15,21.5,8.51,66.67,80.63,91.76,3.54,1017.63,18.19,6.65
144,145,6.62,73.94,53.37,13.2,17.32,21.37,8.17,62.57,79.51,91.33,2.26,1017.82,19.16,6.54
145,146,6.38,72.19,51.06,12.41,16.89,21.54,9.13,66.62,80.95,92.43,3.56,1017.88,20.46,6.47
146,147,7.14,72.08,52.81,12.84,16.89,21.42,8.58,67.76,82.37,92.95,5.72,1017.98,15.94,6.22
147,148,8.52,73.96,52.6,12.66,16.94,21.27,8.6,66.67,80.98,92.24,6.88,1017.65,15.79,5.37
148,149,7.05,74.09,52.5,12.5,16.85,21.27,8.76,65.38,81.17,93.33,5.51,1017.56,14.87,5.56
149,150,6.43,72.66,51.37,12.47,16.62,20.6,8.13,67.86,81.38,92.57,6.79,1017.99,17.87,5.49
150,151,7.9,71.77,48.74,11.22,15.64,19.71,8.5,66.19,81.78,93.48,5.37,1018.08,18.76,5.71
151,152,7.33,71.23,49.25,11.56,15.26,19.07,7.51,70.86,83.81,93.05,5.22,1018.4,18.1,5.92
152,153,8.2,72.76,47.42,11.01,15.22,19.68,8.66,63.85,80.82,92.4,1.23,1019.3,19.7,6.51
153,154,7.05,74.04,47.58,10.87,15.46,20.43,9.57,63.5,79.05,90.45,0.97,1020.09,17.97,5.62
154,155,7.05,74.64,50.48,12.12,16.3,21.13,9.02,63.9,80.83,91.65,1.33,1018.88,18.45,5.43
155,156,7.55,74.75,50.76,12.22,16.64,21.11,8.9,62.3,80.2,93.75,2.65,1017.65,18.95,5.21
156,157,8.85,72.48,51.49,11.83,16.13,20.84,9.01,66.95,82.85,93.9,6.85,1017.39,15.53,5.16
157,158,8.25,73.08,50.41,11.94,16.08,20.47,8.52,67.2,82.23,93.8,5.48,1016.66,16.08,5.1
158,159,8.55,71.72,49.23,11.74,15.82,19.85,8.12,68.95,82.17,92.15,5.98,1018.41,19.08,6.74
159,160,8.25,72.14,49.87,11.85,15.61,20.04,8.18,68.2,83.0,93.2,4.28,1018.54,18.02,5.69
160,161,7.6,70.88,49.24,11.66,15.94,19.59,7.94,68.3,81.98,92.3,7.76,1018.07,17.57,5.84
161,162,8.9,73.9,47.96,11.08,15.3,19.41,8.33,69.3,82.0,92.45,7.7,1018.12,19.1,5.86
162,163,8.15,73.51,48.43,10.96,15.21,19.74,8.77,66.55,80.73,91.65,4.72,1019.26,18.37,5.18
163,164,8.8,74.76,49.1,11.42,15.51,20.26,8.83,64.45,80.12,91.85,2.4,1019.22,17.4,5.44
164,165,8.4,73.28,47.53,10.65,15.43,20.21,9.56,66.2,81.77,93.1,5.91,1020.32,16.68,5.01
165,166,8.05,75.08,46.69,10.25,15.41,20.82,10.57,64.16,80.88,92.37,2.4,1020.49,14.53,5.09
166,167,9.2,74.95,48.36,10.92,15.47,20.26,9.33,63.6,79.17,89.6,0.55,1020.25,18.83,4.4
167,168,9.25,72.6,50.42,11.28,15.41,19.83,8.55,69.8,83.22,93.75,5.94,1019.09,15.55,4.53
168,169,8.4,72.97,48.98,11.5,15.62,20.02,8.52,69.05,83.12,92.75,4.44,1019.34,15.18,5.69
169,170,8.85,72.78,47.49,10.62,14.98,19.54,8.92,67.15,82.05,92.8,3.64,1019.25,20.43,5.55
170,171,9.55,74.51,47.71,10.33,15.22,20.39,10.06,66.6,81.9,93.7,0.68,1019.57,16.32,4.77
171,172,9.0,74.28,50.57,11.6,15.54,19.98,8.37,67.7,82.02,92.05,5.87,1019.02,16.93,4.8
172,173,8.5,76.22,48.45,11.29,15.86,20.81,9.52,62.0,79.35,91.75,0.9,1019.34,19.62,6.51
173,174,8.45,72.72,49.62,11.76,16.1,20.43,8.68,69.7,82.95,92.95,2.14,1019.53,16.53,6.39
174,175,7.8,75.05,48.74,11.36,15.74,20.48,9.11,67.05,81.58,92.45,2.78,1020.11,17.17,5.69
175,176,7.65,74.43,49.46,11.58,15.99,20.28,8.7,66.8,81.47,92.25,4.04,1019.83,18.15,5.22
176,177,7.75,70.98,48.25,10.62,14.76,18.28,7.65,69.5,83.63,93.6,9.77,1020.04,16.17,6.13
177,178,8.95,73.74,47.19,10.53,15.0,20.04,9.5,67.3,82.42,93.35,4.56,1019.67,16.48,6.2
178,179,8.15,72.66,48.89,11.43,15.7,20.66,9.22,71.35,83.77,92.95,3.95,1019.83,16.9,5.85
179,180,9.45,75.18,51.39,12.6,16.54,20.86,8.25,70.35,82.62,92.2,3.34,1018.35,18.4,5.7
180,181,9.05,72.38,51.04,12.37,15.94,20.07,7.7,71.1,85.47,94.7,4.35,1018.43,17.77,6.18
181,182,8.52,72.69,49.1,11.54,15.66,20.05,8.51,69.48,82.94,92.86,6.77,1019.82,18.1,5.49
182,183,9.43,73.94,49.18,11.43,15.85,20.9,9.47,66.05,83.05,94.29,3.22,1019.16,16.13,5.55
183,184,8.43,76.37,48.76,11.32,15.96,21.03,9.71,63.9,80.98,93.67,0.91,1019.44,18.81,5.3
184,185,9.05,77.31,47.72,10.89,15.74,21.0,10.11,65.57,80.67,92.05,6.48,1019.64,17.51,5.26
185,186,8.05,78.41,48.22,11.18,16.18,21.52,10.33,59.8,78.12,90.1,1.05,1019.47,16.93,5.66
186,187,8.9,76.81,50.21,11.93,16.58,21.53,9.6,62.0,78.6,89.62,1.81,1018.18,15.86,5.27
187,188,10.0,73.84,48.13,11.22,15.8,20.88,9.66,65.89,81.89,93.74,12.71,1017.83,18.61,6.83
188,189,9.0,72.03,47.03,10.49,14.8,19.19,8.7,69.67,82.08,91.71,5.55,1019.68,17.25,6.74
189,190,8.05,71.34,46.48,10.64,14.76,18.89,8.25,67.57,82.06,92.67,12.54,1020.45,17.35,6.79
190,191,8.24,73.27,46.97,10.24,14.67,19.37,9.13,65.1,81.41,93.19,1.87,1020.79,17.24,5.03
191,192,8.9,76.56,47.73,10.93,15.46,20.75,9.82,61.48,79.71,92.24,0.89,1019.46,16.22,5.72
192,193,8.81,78.04,46.6,10.38,15.43,20.96,10.58,62.43,79.64,92.38,6.61,1019.46,16.81,5.69
193,194,9.6,73.71,47.31,10.78,15.44,20.58,9.81,63.45,80.2,92.85,6.03,1018.34,17.28,6.25
194,195,9.7,73.5,47.78,10.98,15.81,20.44,9.47,66.0,80.73,90.0,7.67,1017.75,17.37,5.65
195,196,8.45,77.44,48.57,11.4,15.82,20.21,8.8,64.4,79.57,91.25,5.76,1017.68,17.0,6.08
196,197,9.71,72.55,48.74,11.18,15.09,19.43,8.25,69.29,82.86,93.52,4.45,1019.45,16.02,4.84
197,198,8.76,71.14,45.91,10.27,13.97,17.41,7.14,72.0,84.32,93.81,6.6,1021.59,18.6,6.59
198,199,8.9,74.53,45.33,10.11,14.08,18.64,8.53,65.62,81.16,91.9,6.54,1021.48,18.41,7.25
199,200,8.57,76.99,45.95,10.3,14.79,19.64,9.35,62.52,78.51,90.0,2.4,1021.05,18.7,6.28
200,201,7.65,76.83,45.79,9.94,15.47,21.22,11.28,60.2,78.55,91.25,5.25,1019.18,17.7,5.67
201,202,8.81,75.54,47.08,10.34,15.07,20.5,10.16,62.52,80.03,92.52,4.27,1018.54,15.46,5.4
202,203,8.6,75.23,47.29,10.92,15.96,21.47,10.54,63.3,78.37,89.85,7.85,1017.92,15.52,6.39
203,204,9.68,75.16,47.11,10.98,15.47,19.84,8.86,64.11,78.86,89.47,3.85,1018.76,17.53,7.44
204,205,8.9,77.99,45.74,10.3,15.38,21.09,10.78,61.7,77.7,88.85,3.62,1020.27,17.88,6.37
205,206,8.1,73.83,48.63,11.58,15.87,20.22,8.64,66.48,79.98,89.95,4.0,1020.09,17.48,6.31
206,207,9.68,72.75,46.06,10.57,14.68,18.94,8.37,66.32,80.39,91.37,3.23,1021.18,17.88,7.06
207,208,9.24,72.06,46.49,9.75,14.55,19.75,10.0,62.9,80.84,93.76,6.52,1021.14,16.87,5.58
208,209,9.29,74.55,46.8,10.26,14.72,19.73,9.47,65.52,79.87,90.67,1.74,1020.7,16.63,6.16
209,210,8.24,74.67,44.7,9.61,14.81,19.91,10.3,61.43,78.25,90.95,6.58,1021.08,15.91,6.11
210,211,9.0,76.0,46.76,10.42,15.17,19.94,9.52,62.85,78.35,90.4,4.42,1021.37,18.7,5.27
211,212,9.6,76.82,44.91,9.74,15.35,21.14,11.4,60.95,77.52,90.0,3.08,1020.83,14.78,6.08
212,213,8.35,77.33,47.89,10.91,16.29,21.94,11.03,61.4,77.83,90.1,2.95,1019.51,15.02,6.11
213,214,8.2,75.31,49.0,11.57,15.89,20.58,9.02,66.1,80.72,91.0,5.32,1018.96,15.8,6.72
214,215,9.05,76.26,50.13,12.0,16.13,20.91,8.91,64.1,79.62,90.19,5.5,1019.29,16.62,6.6
215,216,9.38,76.62,48.57,11.32,16.2,21.19,9.86,62.33,79.37,90.81,2.23,1020.25,18.06,6.18
216,217,8.33,76.12,47.49,10.9,16.32,21.75,10.85,60.05,77.46,89.76,2.45,1020.35,16.19,5.68
217,218,8.55,77.48,48.47,11.32,16.96,23.12,11.8,55.15,76.13,89.65,2.05,1019.64,16.28,5.88
218,219,9.85,79.18,48.55,11.58,17.06,23.02,11.44,60.4,76.2,87.85,2.55,1018.22,16.53,6.96
219,220,8.85,77.24,51.61,12.21,16.68,21.16,8.96,64.05,78.75,90.35,8.42,1018.56,14.88,5.57
220,221,9.1,75.52,49.42,12.08,16.23,20.29,8.21,67.05,79.65,88.7,6.7,1019.23,15.48,7.69
221,222,9.1,73.85,47.5,11.52,15.78,20.14,8.62,64.25,79.17,90.25,8.81,1020.13,18.55,9.09
222,223,8.33,74.2,46.77,10.66,15.77,20.55,9.89,60.57,77.95,89.29,1.55,1021.65,16.33,6.49
223,224,8.95,77.41,49.46,11.69,16.86,22.52,10.84,62.45,79.2,89.8,0.46,1019.12,14.67,5.5
224,225,9.19,75.25,49.62,12.0,16.81,21.57,9.57,65.33,79.68,90.52,6.34,1018.5,14.73,6.77
