data,obito,tmin_3h,tmin,temp,tmax_3h,tmax,amplitude_t_3h,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2003-01-03,7,22.2,20.4,24.73,27.8,29.6,5.600000000000001,9.200000000000003,70.0,75.67,81.0,0.0,1011.33,19.67,3.1
2003-01-04,8,22.2,21.9,25.43,29.6,30.4,7.400000000000002,8.5,69.0,84.33,96.0,10.4,1007.37,3.0,0.5
2003-01-05,10,25.4,21.8,27.33,31.0,31.6,5.600000000000001,9.8,56.0,70.0,79.0,0.0,1006.97,20.0,2.23
2003-01-06,7,26.2,21.6,27.57,29.5,29.9,3.3000000000000007,8.299999999999997,53.0,65.0,74.0,0.0,1009.23,21.0,1.2
2003-01-07,5,22.8,18.0,25.73,30.2,31.6,7.399999999999999,13.600000000000001,57.0,67.67,74.0,0.0,1013.57,13.67,0.83
2003-01-08,9,22.6,18.1,26.0,31.4,32.9,8.799999999999997,14.799999999999997,52.0,64.0,70.0,0.0,1014.4,12.0,1.7
2003-01-09,9,24.6,22.0,28.47,33.6,34.2,9.0,12.200000000000003,50.0,66.0,81.0,0.0,1011.17,15.33,2.23
2003-01-10,5,22.8,22.6,24.47,25.4,25.8,2.599999999999998,3.1999999999999993,82.0,85.33,87.0,14.2,1015.03,21.33,0.5
2003-01-11,6,21.5,19.0,24.87,30.3,30.8,8.8,11.8,53.0,76.0,88.0,0.0,1012.87,18.33,0.87
2003-01-12,6,24.8,19.8,26.07,28.4,29.8,3.599999999999998,10.0,57.0,68.0,74.0,0.0,1014.37,7.67,0.83
2003-01-13,8,23.6,20.4,26.8,31.0,31.2,7.399999999999999,10.8,47.0,61.0,75.0,0.0,1014.33,18.33,1.7
2003-01-14,5,24.4,21.0,27.87,31.8,32.5,7.400000000000002,11.5,52.0,63.33,75.0,0.0,1014.23,13.67,2.07
2003-01-15,4,24.7,21.2,28.2,32.5,32.7,7.800000000000001,11.500000000000004,50.0,62.67,74.0,0.0,1014.43,12.0,2.6
2003-01-16,9,24.2,21.6,28.2,33.0,34.4,8.8,12.799999999999997,48.0,59.33,68.0,0.0,1013.37,13.67,1.7
2003-01-17,8,26.9,21.8,29.37,33.6,34.4,6.700000000000003,12.599999999999998,46.0,62.33,75.0,0.0,1010.07,27.0,1.7
2003-01-18,5,26.9,23.4,27.6,28.4,29.9,1.5,6.5,66.0,71.67,75.0,0.0,1012.8,13.67,2.57
2003-01-19,2,23.0,20.0,26.47,31.0,32.2,8.0,12.200000000000003,55.0,65.0,75.0,0.0,1013.43,10.67,2.4
2003-01-20,5,22.0,20.8,24.83,27.8,28.8,5.800000000000001,8.0,62.0,75.33,86.0,28.1,1007.0,22.67,2.2
2003-01-21,2,24.8,20.8,26.77,30.5,30.8,5.699999999999999,10.0,54.0,71.0,80.0,0.0,1009.2,10.67,0.67
2003-01-22,5,24.0,22.0,27.07,31.5,32.3,7.5,10.299999999999997,47.0,66.0,81.0,0.0,1009.87,9.0,2.07
2003-01-23,8,22.3,22.0,23.27,24.5,25.2,2.1999999999999993,3.1999999999999993,88.0,90.67,95.0,78.1,1009.8,22.67,2.57
2003-01-24,4,22.2,18.8,23.53,26.0,26.4,3.8000000000000007,7.599999999999998,44.0,58.33,70.0,0.1,1019.7,18.33,2.03
2003-01-25,5,21.2,16.3,24.5,29.8,30.4,8.600000000000001,14.099999999999998,49.0,53.67,62.0,0.0,1018.17,10.67,0.67
2003-01-26,3,22.8,19.6,26.0,30.8,31.2,8.0,11.599999999999998,56.0,68.33,76.0,0.0,1013.63,18.33,2.9
2003-01-27,2,23.8,21.6,25.93,30.0,30.4,6.199999999999999,8.799999999999997,62.0,75.33,84.0,0.0,1012.33,12.0,2.07
2003-01-28,7,23.8,19.8,26.13,30.3,30.6,6.5,10.8,50.0,64.67,74.0,0.0,1012.17,7.67,1.73
