data,tmax_clima,acima,obito,heat_index,wind_chill,tmin,temp,tmax,amplitude_t,urmin,umidade,urmax,prec,pressao,ventodir,ventovel
2005-07-29,19.91,6.690000000000001,9,83.3944137669505,46.84186265563199,10.0,17.73,26.6,16.6,57.0,75.33,95.0,0.0,1019.7,9.33,3.492
2005-07-30,19.94,12.260000000000002,8,104.68308859708851,57.661372160926526,14.9,22.97,32.2,17.300000000000004,44.0,68.33,88.0,0.0,1015.87,16.67,3.3480000000000003
2005-07-31,21.14,10.46,7,95.77173381556644,65.38558568784325,18.5,25.1,31.6,13.1,34.0,57.33,69.0,0.0,1015.07,1.67,3.6
2005-08-01,21.94,8.86,9,93.260934107903,63.08088020655981,17.0,24.5,30.8,13.8,44.0,58.33,73.0,0.0,1016.13,24.0,2.16
2005-08-02,20.58,9.82,8,93.44164081274296,57.879441265143775,15.0,23.5,30.4,15.4,39.0,62.33,81.0,0.0,1016.43,22.67,3.3480000000000003
2005-08-03,20.91,9.190000000000001,4,91.56444460404728,63.26624935242148,16.0,23.47,30.1,14.1,38.0,60.33,74.0,0.0,1017.2,10.67,0.6120000000000001
2005-08-04,21.19,9.61,9,94.54619948269615,63.54285343844806,15.7,23.07,30.8,15.1,39.0,61.33,75.0,0.0,1017.3,12.0,0.36
2005-08-05,21.75,8.850000000000001,12,93.0905004242924,57.90589130789287,15.5,23.5,30.6,15.1,38.0,59.67,72.0,0.0,1017.07,22.67,5.292
2005-11-21,28.55,5.650000000000002,11,102.5369926477118,62.6548430656519,17.6,26.83,34.2,16.6,27.0,51.0,74.0,0.0,1012.47,4.67,5.292
2005-11-22,28.49,8.309999999999999,6,114.02757258088036,68.27710291526134,19.6,29.93,36.8,17.199999999999996,31.0,50.67,67.0,0.0,1007.57,26.0,2.628
2005-11-23,29.23,7.669999999999998,7,104.63779033997874,72.19655285713134,21.9,31.27,36.9,15.0,31.0,38.33,43.0,0.0,1004.7,23.0,6.12
2005-11-27,28.98,3.0199999999999996,7,90.76055490640012,59.14927356964285,16.0,26.4,32.0,16.0,25.0,42.0,51.0,0.0,1013.43,10.67,5.04
2005-11-28,28.16,4.639999999999997,12,97.10634584627196,65.03029888964569,18.9,26.2,32.8,13.9,33.0,51.0,64.0,0.0,1009.47,8.0,7.2
2005-11-29,29.2,6.0000000000000036,11,109.64715389374206,66.58258917334521,19.3,28.13,35.2,15.900000000000002,32.0,54.67,71.0,0.0,1007.97,24.33,5.04
2005-11-30,29.03,4.769999999999996,2,106.92970711379212,73.43361292974026,22.4,28.7,33.8,11.4,54.0,60.0,66.0,0.0,1008.27,18.33,5.652
2006-01-10,32.2,5.399999999999999,5,129.96302072260875,75.09924085107008,23.0,31.07,37.6,14.6,47.0,61.33,81.0,0.0,1010.73,18.33,4.212
2006-01-11,31.84,4.360000000000003,4,127.75528485588028,80.56069081914839,25.5,30.87,36.2,10.700000000000005,46.0,67.33,84.0,0.0,1014.6,12.33,4.932
2006-01-12,31.29,5.509999999999998,6,117.16922254230398,77.11052076475325,24.0,30.8,36.8,12.799999999999995,44.0,54.0,65.0,0.0,1013.53,21.33,5.4
2006-01-14,31.07,3.9299999999999997,6,121.9235022525221,77.93992284620252,24.1,29.43,35.0,10.9,51.0,69.33,82.0,0.0,1015.3,9.0,2.52
2006-01-15,31.32,5.68,8,125.3506433338082,76.88401023528289,23.9,31.07,37.0,13.1,43.0,60.67,75.0,0.0,1012.4,15.33,5.4
2006-01-16,31.64,5.359999999999999,12,124.22815834566408,77.27823493571486,24.0,32.03,37.0,13.0,52.0,59.67,64.0,0.0,1009.77,24.33,4.428
2006-03-13,28.94,3.2600000000000016,8,102.34289699529464,67.86902576794543,19.7,26.6,32.2,12.500000000000004,46.0,64.67,80.0,0.0,1012.3,21.33,3.96
2006-03-14,29.74,3.66,7,110.15860224681587,69.22176968570028,20.6,27.63,33.4,12.799999999999995,47.0,67.0,82.0,0.0,1012.37,17.0,6.12
2006-03-15,29.38,5.419999999999998,7,114.3421245207255,67.83676218255283,20.2,27.43,34.8,14.599999999999998,35.0,62.67,79.0,0.0,1012.27,15.33,8.172
2006-03-16,29.11,7.090000000000003,7,125.8684045268736,72.59757601837784,21.0,28.67,36.2,15.200000000000005,34.0,65.67,83.0,0.0,1011.23,4.67,0.8280000000000001
2006-03-17,29.22,7.780000000000001,7,119.58657236020828,69.5857520799958,20.6,29.93,37.0,16.4,38.0,55.33,69.0,0.0,1009.27,26.0,4.788
2006-06-07,20.47,7.130000000000003,7,88.7328336123525,58.82186469496904,14.0,19.67,27.6,13.6,63.0,83.0,98.0,0.1,1017.2,12.0,0.8280000000000001
2006-06-08,19.85,11.75,8,102.65908494796822,63.94169405457184,17.0,23.73,31.6,14.6,41.0,70.0,89.0,0.0,1016.3,13.67,1.332
2006-06-09,20.04,8.36,9,88.08708681731231,62.9902454256729,17.0,22.5,28.4,11.4,44.0,68.0,83.0,0.0,1013.6,24.0,2.268
2006-07-11,20.75,4.850000000000001,9,80.31849973660526,44.953728648644514,9.5,16.63,25.6,16.1,59.0,75.67,90.0,0.0,1017.77,7.67,4.428
2006-07-12,20.96,11.04,9,101.9994377490783,62.448129515078776,17.8,23.87,32.0,14.2,41.0,65.67,79.0,0.0,1014.57,25.67,7.308
2006-07-13,20.58,10.920000000000002,11,95.86663776075213,65.32357179415526,18.7,25.5,31.5,12.8,41.0,58.33,68.0,0.0,1015.37,24.0,4.788
2006-07-17,17.41,6.890000000000001,11,75.76451024794828,61.54109670774277,16.1,19.3,24.3,8.2,70.0,88.0,98.0,2.1,1023.5,9.0,1.8
2006-07-18,18.64,6.16,9,77.67798690173785,60.231895933185264,15.8,19.63,24.8,9.0,69.0,85.67,96.0,0.1,1020.1,13.67,2.52
2006-07-19,19.64,4.359999999999999,8,75.6924641151152,56.26031156913525,15.0,19.37,24.0,9.0,58.0,81.33,93.0,0.1,1017.5,24.0,6.48
2006-07-20,21.22,4.080000000000002,8,79.48456347688695,50.9357564176107,10.2,17.33,25.3,15.1,62.0,80.33,96.0,0.0,1016.87,12.0,0.972
2006-07-21,20.5,7.5,11,88.44038221119985,58.08048439551041,14.0,20.03,28.0,14.0,48.0,75.0,89.0,0.1,1017.2,12.0,1.1880000000000002
2006-07-22,21.47,8.530000000000001,9,90.62691719815894,56.67480103122973,15.0,22.97,30.0,15.0,34.0,58.67,75.0,0.0,1011.97,10.67,5.508
2006-08-07,23.02,8.780000000000001,15,112.58554126479363,56.22105236143218,14.8,20.43,31.8,17.0,53.0,82.67,98.0,0.2,1014.03,16.67,5.508
2006-08-08,21.16,3.84,16,78.65837097621424,61.07551412472784,17.0,21.97,25.0,8.0,69.0,76.67,89.0,0.0,1011.63,12.33,5.867999999999999
2006-08-09,20.29,12.009999999999998,5,99.63064320484456,61.44551266522386,17.4,24.9,32.3,14.9,33.0,59.33,86.0,0.0,1006.83,10.67,7.56
2006-10-09,25.58,4.920000000000002,8,94.68595536892452,51.27049146921169,12.9,21.67,30.5,17.6,51.0,64.33,75.0,0.0,1017.73,11.0,6.84
2006-10-10,24.98,10.02,9,120.57663838000008,64.7706861708015,17.7,25.7,35.0,17.3,42.0,68.0,85.0,0.0,1014.9,3.0,1.908
2006-10-11,24.75,4.350000000000001,10,94.1150668844433,66.37669898654642,18.6,24.0,29.1,10.5,66.0,77.67,93.0,17.0,1012.8,18.33,2.268
2006-10-23,26.04,4.359999999999999,9,93.72050691923212,56.44776471284132,15.1,23.87,30.4,15.3,46.0,63.0,81.0,0.0,1018.2,15.33,6.588
2006-10-24,25.83,5.970000000000002,8,97.72797332430542,62.005736162882286,17.2,24.73,31.8,14.6,40.0,59.67,77.0,0.0,1016.3,19.67,4.680000000000001
2006-10-25,26.81,6.489999999999998,6,103.1979892100282,64.89533364381654,18.8,26.1,33.3,14.499999999999996,42.0,58.0,75.0,0.0,1013.83,25.67,6.84
2006-11-14,27.8,4.300000000000001,12,96.19831685553116,61.40179344955266,17.0,24.93,32.1,15.1,38.0,54.33,72.0,0.0,1015.13,6.33,5.04
2006-11-15,28.79,5.609999999999999,7,108.62573931069416,63.7086007165111,18.4,26.7,34.4,16.0,38.0,58.33,79.0,0.0,1012.3,27.0,7.812
2006-11-16,28.88,7.52,7,110.39004301774548,72.15274658117,21.8,29.93,36.4,14.599999999999998,34.0,48.67,57.0,0.0,1009.23,15.33,5.292
2006-12-14,30.58,6.6200000000000045,7,126.6041108159154,72.10225580434656,21.8,29.5,37.2,15.400000000000002,38.0,60.67,83.0,0.0,1009.67,15.33,5.508
2006-12-15,29.45,6.349999999999998,8,126.1767632623748,72.75368139059808,22.0,29.6,35.8,13.799999999999995,51.0,68.33,81.0,6.5,1010.07,14.0,4.680000000000001
2006-12-16,29.72,3.8800000000000026,6,113.48673796404404,73.46702418602612,22.2,28.73,33.6,11.400000000000002,57.0,69.67,78.0,0.0,1011.8,10.67,3.708
2006-12-17,30.43,7.170000000000002,7,139.52762323452157,74.21503301809122,22.4,29.83,37.6,15.200000000000005,46.0,68.67,84.0,0.0,1009.33,9.33,2.772
2007-01-01,30.75,4.649999999999999,7,116.19392464636788,72.88304128130773,22.2,29.6,35.4,13.2,46.0,61.0,76.0,0.0,1012.13,16.67,6.12
